platform,campaign_name,network_name,total_revenue,total_users,total_spend,conversion_rate,roas,arpu,forecasted_revenue,high_roas,high_roas_prob
android,campaignA,Network A,148442.6294566759,55923,441736.5056,100,0.3360433823667118,2.654411055499095,2755.591174468398,1,0.94
android,campaignB,Network A,24995.289201244752,4070,52589.5928,100,0.4752896508688075,6.141348698094534,980.0437144814059,1,0.74
android,campaignC,Network A,55684.05245621435,12015,269001.7785,100,0.2070025438743125,4.634544524029492,2377.5206062458456,0,0.3
ios,campaignB,Network A,200689.28663363235,166384,313258.8126,100,0.6406500904729291,1.2061814034620657,6002.83177588135,1,0.84
ios,campaignC,Network A,54744.41132247912,50529,224959.8117,100,0.24335196099596987,1.0834255837732614,2427.602281514555,0,0.28
